Buchungsdatum	Belegdatum	Belegnummer	Buchungskreis	Werk	Kostenstelle	Materialnummer	Menge	Mengeneinheit	Nettobetrag	Waehrung	Buchungstext
26.04.2024	24.04.2024	4900012608	GB01	4000	4610	1000025	140.00	L	236.60	GBP	Petrol Paris
29.04.2024	27.04.2024	4900012609	GB01	2000	4310	1000031	880.00	M3	1795.20	GBP	Natural gas April
03.05.2024	01.05.2024	4900012701	GB01	1000	4210	1000024	1920.00	L	3225.60	GBP	Diesel May fleet
06.05.2024	04.05.2024	4900012702	GB01	2000	4310	1000025	640.00	L	1081.60	GBP	Benzin Mai Firmenwagen
10.05.2024	08.05.2024	4900012703	GB01	1000	4210		850.00	XYZ	1428.00	GBP	Unknown fuel unknown UoM
13.05.2024	11.05.2024	4900012704	GB01	2000	4310	1000031	1100.00	M3	2244.00	GBP	Erdgas Mai
17.05.2024	15.05.2024	4900012705	GB01	3000	4510	1000024	440.00	GAL	2970.00	GBP	Diesel London May
20.05.2024	18.05.2024	4900012706	GB01	1000	4215	1000032	460.00	L	717.60	GBP	LPG Gabelstapler Mai
24.05.2024	22.05.2024	4900012707	GB01	4000	4610	1000024	190.00	L	319.20	GBP	Diesel Paris generator May
27.05.2024	25.05.2024	4900012708	GB01	2000	4310	1000025	560.00	L	946.40	GBP	Petrol Mai
31.05.2024	29.05.2024	4900012709	GB01	1000	4210	1000024	2200.00	L	3696.00	GBP	Diesel fleet end of May
03.06.2024	01.06.2024	4900012801	GB01	2000	4310	1000031	920.00	M3	1877.28	GBP	Erdgas Juni
06.06.2024	04.06.2024	4900012802	GB01	1000	4210	1000024	1680.00	L	2822.40	GBP	Diesel Juni fleet
10.06.2024	08.06.2024	4900012803	GB01	3000	4510	1000024	390.00	GAL	2632.50	GBP	Diesel London June
13.06.2024	11.06.2024	4900012804	GB01	1000	4210	1000024		L	0.00	GBP	Missing quantity entry
17.06.2024	15.06.2024	4900012805	GB01	2000	4310	1000025	710.00	L	1199.90	GBP	Petrol Juni Firmenwagen
20.06.2024	18.06.2024	4900012806	GB01	4000	4610	1000032	200.00	L	312.00	GBP	LPG Paris
